12 Monkeys,Year of the Monkey,42,2,1,2016
12 Monkeys,Mentally Divergent,44,1,2,2015
12 Monkeys,Primary,43,2,2,2016
12 Monkeys,Cassandra Complex,43,1,3,2015
12 Monkeys,One Hundred Years,43,2,3,2016
12 Monkeys,Atari,43,1,4,2015
12 Monkeys,Emergence,42,2,4,2016
12 Monkeys,The Night Room,43,1,5,2015
12 Monkeys,Bodies of Water,43,2,5,2016
12 Monkeys,The Red Forest,60,1,6,2015
12 Monkeys,Immortal,41,2,6,2016
12 Monkeys,The Keys,44,1,7,2015
12 Monkeys,Meltdown,43,2,7,2016
12 Monkeys,Yesterday,43,1,8,2015
12 Monkeys,Lullaby,43,2,8,2016
12 Monkeys,Tomorrow,44,1,9,2015
12 Monkeys,Hyena,43,2,9,2016
12 Monkeys,Divine Move,44,1,10,2015
12 Monkeys,Fatherland,43,2,10,2016
12 Monkeys,Shonin,43,1,11,2015
12 Monkeys,Resurrection,43,2,11,2016
12 Monkeys,Paradox,43,1,12,2015
12 Monkeys,Blood Washed Away,43,2,12,2016
12 Monkeys,Arms of Mine,43,1,13,2015
12 Monkeys,Memory of Tomorrow,43,2,13,2016
19-2,Partners,44,1,1,2014
19-2,Burn Pile,44,3,1,2016
19-2,School,42,2,1,2015
19-2,Deer,44,1,2,2014
19-2,Disorder,44,2,2,2015
19-2,Rescue,44,3,2,2016
19-2,Borders,44,2,3,2015
19-2,Chicken,44,3,3,2016
19-2,Welfare Day,43,1,3,2014
19-2,The Party,44,1,4,2014
19-2,Tribes,44,2,4,2015
19-2,Bitch,44,3,4,2016
19-2,Home,45,1,5,2014
19-2,Protest Pants,44,3,5,2016
19-2,Rock Garden,42,2,5,2015
19-2,Turf,44,1,6,2014
19-2,City,44,3,6,2016
19-2,Lovers,44,1,7,2014
19-2,Honeymoon,44,3,7,2016
19-2,Property Line,42,2,7,2015
19-2,Medals,45,1,8,2014
19-2,Babylon,44,2,8,2015
19-2,Fall,44,3,8,2016
19-2,Islands,44,1,9,2014
19-2,Orphans,44,2,9,2015
19-2,Gone,44,3,9,2016
19-2,Winter,45,1,10,2014
19-2,Bridges,44,2,10,2015
19-2,Water,44,3,10,2016
Agent Carter,The Lady in the Lake,42,2,1,2016
Agent Carter,A View in the Dark,42,2,2,2016
Agent Carter,Bridge and Tunnel,41,1,2,2015
Agent Carter,Better Angels,43,2,3,2016
Agent Carter,Time and Tide,41,1,3,2015
Agent Carter,Smoke & Mirrors,43,2,4,2016
Agent Carter,The Blitzkrieg Button,41,1,4,2015
Agent Carter,The Iron Ceiling,43,1,5,2015
Agent Carter,The Atomic Job,42,2,5,2016
Agent Carter,Life of the Party,43,2,6,2016
Agent Carter,A Sin to Err,41,1,6,2015
Agent Carter,Monsters,43,2,7,2016
Agent Carter,The Edge of Mystery,43,2,8,2016
Agent Carter,Valediction,42,1,8,2015
Agent Carter,A Little Song and Dance,42,2,9,2016
Agent Carter,Hollywood Ending,41,2,10,2016
Agents of S.H.I.E.L.D.,Shadows,44,2,1,2014
Agents of S.H.I.E.L.D.,Laws of Nature,44,3,1,2015
Agents of S.H.I.E.L.D.,The Ghost,43,4,1,2016
Agents of S.H.I.E.L.D.,Purpose in the Machine,43,3,2,2015
Agents of S.H.I.E.L.D.,Meet the New Boss,43,4,2,2016
Agents of S.H.I.E.L.D.,The Asset,45,1,3,2013
Agents of S.H.I.E.L.D.,Making Friends and Influencing People,43,2,3,2014
Agents of S.H.I.E.L.D.,A Wanted (Inhu)Man,42,3,3,2015
Agents of S.H.I.E.L.D.,Uprising,42,4,3,2016
Agents of S.H.I.E.L.D.,Eye Spy,45,1,4,2013
Agents of S.H.I.E.L.D.,Devils You Know,43,3,4,2015
Agents of S.H.I.E.L.D.,Let Me Stand Next to Your Fire,43,4,4,2016
Agents of S.H.I.E.L.D.,Girl in the Flower Dress,45,1,5,2013
Agents of S.H.I.E.L.D.,A Hen in the Wolf House,43,2,5,2014
Agents of S.H.I.E.L.D.,"4,722 Hours",43,3,5,2015
Agents of S.H.I.E.L.D.,Lockup,42,4,5,2016
Agents of S.H.I.E.L.D.,A Fractured House,42,2,6,2014
Agents of S.H.I.E.L.D.,Among Us Hide...,42,3,6,2015
Agents of S.H.I.E.L.D.,The Good Samaritan,41,4,6,2016
Agents of S.H.I.E.L.D.,The Hub,45,1,7,2013
Agents of S.H.I.E.L.D.,The Writing on the Wall,43,2,7,2014
Agents of S.H.I.E.L.D.,Chaos Theory,43,3,7,2015
Agents of S.H.I.E.L.D.,Deals with Our Devils,43,4,7,2016
Agents of S.H.I.E.L.D.,The Things We Bury,43,2,8,2014
Agents of S.H.I.E.L.D.,"Many Heads, One Tale",43,3,8,2015
Agents of S.H.I.E.L.D.,The Well,42,1,8,2013
Agents of S.H.I.E.L.D.,The Laws of Inferno Dynamics,42,4,8,2016
Agents of S.H.I.E.L.D.,Repairs,44,1,9,2013
Agents of S.H.I.E.L.D.,Closure,43,3,9,2015
Agents of S.H.I.E.L.D.,Broken Promises,43,4,9,2017
Agents of S.H.I.E.L.D.,What They Become,44,2,10,2014
Agents of S.H.I.E.L.D.,Maveth,42,3,10,2015
Agents of S.H.I.E.L.D.,The Patriot,42,4,10,2017
Agents of S.H.I.E.L.D.,The Bridge,41,1,10,2013
Agents of S.H.I.E.L.D.,Aftershocks,44,2,11,2015
Agents of S.H.I.E.L.D.,Bouncing Back,43,3,11,2016
Agents of S.H.I.E.L.D.,The Magical Place,42,1,11,2014
Agents of S.H.I.E.L.D.,Wake Up,42,4,11,2017
Agents of S.H.I.E.L.D.,Seeds,45,1,12,2014
Agents of S.H.I.E.L.D.,The Inside Man,43,3,12,2016
